M_feature,mz,rt
FT001,103.004107,60.35971848
FT002,112.9859523,43.037
FT003,112.9858067,203.2818666
FT004,115.9206882,2187.40136
FT005,115.9212708,1937.866857
FT006,116.9284691,2145.981693
FT007,116.9283929,2253.51066
FT008,116.9284648,1938.877659
FT009,116.9284772,2052.09732
FT010,116.928662,1831.628274
FT011,116.9290144,26.83780556
FT012,128.0358177,77.01577164
FT013,130.9663522,2203.041747
FT014,131.0830473,42.50480556
FT015,132.9235641,2111.779271
FT016,132.9234573,1968.096287
FT017,134.8949492,74.32938706
FT018,134.8939471,2052.356815
FT019,145.0986526,42.21480556
FT020,146.9384462,2285.89471
FT021,147.0454377,109.5972561
FT022,154.0628886,43.727375
FT023,154.9292957,54.99894548
FT024,156.0782531,58.05131025
FT025,158.0616341,346.8562578
FT026,160.0406212,835.5370675
FT027,160.8425658,94.98480556
FT028,162.8393901,94.98480556
FT029,164.0724798,110.5497046
FT030,164.836841,93.57978019
FT031,165.0412822,57.5058489
FT032,165.0752431,110.8231937
FT033,172.0986941,738.9892111
FT034,174.9566902,2202.85627
FT035,176.9365419,69.81162945
FT036,177.0200766,504.685917
FT037,179.0566068,55.91059466
FT038,180.9734486,42.50480556
FT039,183.114811,305.5121644
FT040,185.0577241,84.54722218
FT041,187.0081291,1113.168832
FT042,188.0933232,152.1310661
FT043,193.036052,60.35971848
FT044,194.0394046,61.66412245
FT045,194.0826798,1656.287163
FT046,194.9471422,69.81162945
FT047,195.0517007,57.78257819
FT048,195.8115858,94.98480556
FT049,196.0549592,57.5058489
FT050,197.8084587,94.98480556
FT051,199.0710172,43.037
FT052,199.8055161,94.98480556
FT053,201.8019778,96.14429663
FT054,203.0832227,176.5769472
FT055,204.086309,174.5367759
FT056,213.0861112,41.91580556
FT057,213.088604,165.8375838
FT058,214.0896852,43.037
FT059,214.1244783,1224.446284
FT060,215.0334065,54.69075844
FT061,216.9296746,65.57209727
FT062,217.0314322,52.09827326
FT063,218.1038043,170.4869046
FT064,222.0504328,42.47640278
FT065,222.0776671,277.990219
FT066,224.0594085,1652.627547
FT067,225.0887162,155.2640538
FT068,226.1204493,216.3944072
FT069,227.1043238,299.4104443
FT070,227.1040719,388.5122163
FT071,228.1074148,305.3706906
FT072,229.083621,84.31549923
FT073,229.1563189,105.722123
FT074,233.1549067,1738.129799
FT075,239.0833741,1651.697134
FT076,240.0859043,1652.627547
FT077,240.1361086,327.8726386
FT078,241.119873,581.2165097
FT079,241.120128,715.637937
FT080,241.1394333,332.6951797
FT081,242.123258,715.7848076
FT082,242.1231701,562.6111755
FT083,242.1561067,1487.96848
FT084,243.0630881,78.4818849
FT085,243.1589451,1487.96848
FT086,244.1310327,58.00716664
FT087,248.9614149,42.21480556
FT088,249.9650904,43.037
FT089,250.995075,57.77857957
FT090,255.2333897,1938.877659
FT091,255.2333485,1818.94448
FT092,257.0786694,92.1413867
FT093,257.9761953,142.4102481
FT094,258.1466199,70.70851271
FT095,258.1504229,1541.018699
FT096,259.0764835,340.5511006
FT097,259.1091763,415.5155518
FT098,259.1304484,98.06511007
FT099,259.1536535,1540.873797
FT100,260.1123199,428.9452092
FT101,260.1263971,54.99894548
FT102,261.0892601,550.3237284
FT103,262.1454791,1466.152924
FT104,264.9352315,43.51008333
FT105,265.1482646,1910.564733
FT106,266.1519851,1910.556171
FT107,267.0581238,43.037
FT108,268.1714607,1638.216494
FT109,270.1475802,73.9066874
FT110,270.1871325,1645.448691
FT111,271.1896235,1644.323582
FT112,271.9911178,196.6680973
FT113,274.0934652,141.841479
FT114,274.1202047,350.8687585
FT115,275.1046297,836.4088762
FT116,275.1039349,619.3092083
FT117,277.1202208,108.2589401
FT118,277.1567999,571.9147362
FT119,277.1810936,1705.775858
FT120,277.2171593,1847.182127
FT121,279.2331997,1890.187271
FT122,280.2369041,1888.100557
FT123,281.0737183,41.60780556
FT124,281.2491862,1950.427674
FT125,283.2651129,1845.06894
FT126,283.2647872,2055.465717
FT127,284.1630513,91.92230845
FT128,284.1657272,1645.821617
FT129,284.2690145,2055.321001
FT130,286.1778314,306.0861814
FT131,286.1816017,1674.057658
FT132,288.9364012,2199.857736
FT133,290.089155,77.80926974
FT134,290.1159996,115.8515647
FT135,290.1765605,1634.383734
FT136,291.0129395,64.11651803
FT137,291.0988181,383.9177328
FT138,292.138286,77.80926974
FT139,292.9243525,73.14315698
FT140,293.1151953,409.5079684
FT141,295.2282197,1746.370967
FT142,296.2026784,1685.64073
FT143,297.0861752,195.2813449
FT144,298.2173796,1732.367745
FT145,299.170276,41.00233333
FT146,300.1930114,277.4049708
FT147,302.177569,1529.40332
FT148,304.1523538,75.50821407
FT149,304.9143489,2203.041747
FT150,305.0186679,133.4553955
FT151,305.0707268,982.5014746
FT152,310.2175735,1724.136109
FT153,311.0022044,216.4002588
FT154,312.1572609,599.3378746
FT155,312.1941785,708.6146534
FT156,312.9948952,59.80482889
FT157,313.1869504,41.126
FT158,313.23826,1698.227238
FT159,314.1149265,886.1558509
FT160,314.9060739,65.57209727
FT161,315.0109738,57.5058489
FT162,315.1202874,641.085561
FT163,316.1519177,93.33847065
FT164,316.9486458,41.91580556
FT165,317.0237345,1298.119257
FT166,317.9518946,43.037
FT167,318.2065618,1725.876507
FT168,321.0058235,1037.39786
FT169,322.2168551,1751.780704
FT170,323.0030848,1037.687589
FT171,323.0290646,135.776827
FT172,324.1935593,120.5142443
FT173,324.2318407,1753.228532
FT174,326.1256752,125.3504316
FT175,326.1732222,754.8638318
FT176,326.2094088,442.1646246
FT177,326.2095669,531.1560697
FT178,326.2091895,271.0944629
FT179,327.2124127,448.8679434
FT180,328.0463397,94.98480556
FT181,328.1156471,103.3977074
FT182,328.1521065,512.5370269
FT183,328.1524493,253.5515502
FT184,328.1889183,505.166108
FT185,328.1879389,843.6003731
FT186,328.225144,444.7839598
FT187,330.1686063,95.30644298
FT188,330.2040423,396.0538025
FT189,331.2492294,1582.818587
FT190,332.1621845,422.5244966
FT191,332.922199,43.41695343
FT192,333.1921344,1418.362455
FT193,335.0456718,41.60780556
FT194,340.2247382,697.1380406
FT195,341.109822,52.54918904
FT196,342.1317935,258.8767344
FT197,342.1688428,86.79023041
FT198,344.0405881,158.5692367
FT199,346.1061379,207.718863
FT200,348.8959255,43.037
FT201,349.0610977,41.60780556
FT202,350.0632878,43.037
FT203,353.1478164,121.3632488
FT204,354.1311762,171.8527464
FT205,354.1316252,251.3287874
FT206,355.1350008,251.9814952
FT207,355.1622653,364.6368792
FT208,355.1630384,455.7312338
FT209,355.199934,113.6521098
FT210,356.1468603,621.372497
FT211,356.1467826,711.0923214
FT212,356.1466538,463.2499385
FT213,356.1472157,293.8017455
FT214,358.1262076,103.3977074
FT215,358.1816926,606.3381818
FT216,358.2002525,100.6966928
FT217,358.1994049,498.6162608
FT218,359.1577438,68.1861554
FT219,360.1783776,86.79023041
FT220,361.2257317,1579.4124
FT221,362.051237,126.6217486
FT222,364.152608,84.54722218
FT223,364.2001676,70.70851271
FT224,365.0346669,41.553
FT225,368.9763643,1808.825385
FT226,369.1779264,452.5180018
FT227,370.1622674,665.4819229
FT228,370.1628305,776.2600948
FT229,374.1579657,141.841479
FT230,374.1594886,297.3126104
FT231,375.1169617,57.5058489
FT232,376.1895673,200.4893992
FT233,377.0857666,54.97320315
FT234,377.2726777,1894.580327
FT235,378.0892617,54.99894548
FT236,379.0837532,54.99894548
FT237,381.1735517,41.00233333
FT238,382.1983927,1258.389646
FT239,383.1891868,2053.539496
FT240,383.1902004,1844.19839
FT241,383.2299739,577.0590759
FT242,384.2328925,577.3512862
FT243,384.935445,41.91580556
FT244,385.1366751,86.79023041
FT245,386.0342263,91.37049831
FT246,386.121019,110.8231937
FT247,387.0773616,62.66093879
FT248,387.1151197,50.93678872
FT249,389.0943541,62.8285
FT250,389.1318949,62.8285
