M_feature,mz,rt
FT0001,102.0530958,553.628
FT0002,104.0510512,599.165
FT0003,106.0497276,618.9185674
FT0004,115.9622155,589.146
FT0005,118.084534,646.252
FT0006,120.0428585,551.058
FT0007,120.062876,553.5114136
FT0008,121.0454823,551.058
FT0009,125.0687015,608.9639282
FT0010,129.0634317,568.4591675
FT0011,130.0627083,586.5754902
FT0012,132.1014203,546.0105591
FT0013,133.0587226,591.4299316
FT0014,134.0427818,623.904
FT0015,138.0526875,551.1182861
FT0016,143.1177355,637.6029663
FT0017,144.1184404,637.5581577
FT0018,147.0416478,576.237
FT0019,150.0558432,621.414
FT0020,157.095113,597.4605103
FT0021,157.1311024,623.7314453
FT0022,158.0795127,604.0535278
FT0023,163.0564528,601.605
FT0024,166.0838748,581.2946777
FT0025,167.0794974,646.2400442
FT0026,171.1111247,638.843
FT0027,172.1166791,636.2733154
FT0028,174.0890912,636.3927002
FT0029,175.0837442,608.925
FT0030,175.1062251,546.029
FT0031,180.0651549,586.5754902
FT0032,181.0954381,613.925
FT0033,182.0980788,613.925
FT0034,183.1102596,653.8887329
FT0035,184.1062675,646.252
FT0036,185.1266034,598.723877
FT0037,186.1332918,626.4831543
FT0038,187.1054856,581.406
FT0039,192.0321055,638.8878086
FT0040,193.0944482,606.1663208
FT0041,195.0748966,646.252
FT0042,196.0581524,646.252
FT0043,198.1334547,568.5379028
FT0044,199.0728257,589.1946411
FT0045,199.1049586,553.628
FT0046,199.1440196,581.4407014
FT0047,200.1480085,581.4754028
FT0048,201.1252571,608.9639282
FT0049,202.1282694,622.6783142
FT0050,203.0661299,653.9152832
FT0051,203.0826188,563.4176113
FT0052,203.1009395,553.6880493
FT0053,203.1003131,618.874
FT0054,203.1372939,603.6900024
FT0055,207.6294109,558.5686035
FT0056,209.0887222,621.414
FT0057,211.1436762,552.3731431
FT0058,212.1004362,643.773
FT0059,212.1427532,553.628
FT0060,213.063271,648.7850342
FT0061,214.1220318,563.3665161
FT0062,215.1047308,546.0385132
FT0063,215.1368111,594.326
FT0064,216.0980271,606.4644385
FT0065,216.1203022,626.383
FT0066,216.1391638,594.326
FT0067,219.1101597,569.7580837
FT0068,219.1300639,565.887
FT0069,225.0947968,631.3582871
FT0070,225.6371398,606.455
FT0071,226.1196817,628.9334717
FT0072,226.1239719,582.4766201
FT0073,226.1515279,596.5306201
FT0074,227.1003132,638.843
FT0075,228.1315751,631.303
FT0076,229.1008393,612.5924744
FT0077,229.1157408,586.546
FT0078,229.1526101,643.773
FT0079,230.1088226,627.6098938
FT0080,230.1553613,641.2644663
FT0081,231.0950901,611.3569946
FT0082,231.1107376,582.7357014
